month,nominal_million_credits
2289-02,165200.000
2289-03,165699.000
2289-04,165208.000
2289-05,166047.000
2289-06,165306.000
2289-07,165915.000
2289-08,166464.000
2289-09,165843.000
2289-10,166332.000
2289-11,165741.000
2289-12,166630.000
2290-01,166489.000
2290-02,166508.000
2290-03,167007.000
2290-04,166516.000
2290-05,167355.000
2290-06,166614.000
2290-07,167223.000
2290-08,167772.000
2290-09,167151.000
2290-10,167640.000
2290-11,167049.000
2290-12,167938.000
2291-01,167797.000
2291-02,167816.000
2291-03,168315.000
2291-04,167824.000
2291-05,168663.000
2291-06,167922.000
2291-07,168531.000
2291-08,169080.000
2291-09,168459.000
2291-10,168948.000
2291-11,168357.000
2291-12,169246.000
2292-01,169105.000
