month,nominal_million_credits
2289-02,134380.000
2289-03,134031.000
2289-04,134692.000
2289-05,134353.000
2289-06,134994.000
2289-07,134305.000
2289-08,134816.000
2289-09,135117.000
2289-10,134738.000
2289-11,135379.000
2289-12,135030.000
2290-01,135351.000
2290-02,135472.000
2290-03,135123.000
2290-04,135784.000
2290-05,135445.000
2290-06,136086.000
2290-07,135397.000
2290-08,135908.000
2290-09,136209.000
2290-10,135830.000
2290-11,136471.000
2290-12,136122.000
2291-01,136443.000
2291-02,136564.000
2291-03,136215.000
2291-04,136876.000
2291-05,136537.000
2291-06,137178.000
2291-07,136489.000
2291-08,137000.000
2291-09,137301.000
2291-10,136922.000
2291-11,137563.000
2291-12,137214.000
2292-01,137535.000
