month,nominal_million_credits
2291-02,15640.000
2291-03,15681.400
2291-04,15663.400
2291-05,15725.200
2291-06,15692.200
2291-07,15740.200
2291-08,15784.600
2291-09,15758.800
2291-10,15799.600
2291-11,15775.600
2291-12,15840.400
2292-01,15843.400
2292-02,15856.000
2292-03,15897.400
2292-04,15879.400
2292-05,15941.200
2292-06,15908.200
2292-07,15956.200
2292-08,16000.600
2292-09,15974.800
2292-10,16015.600
2292-11,15991.600
2292-12,16056.400
2293-01,16059.400
2293-02,16072.000
2293-03,16113.400
2293-04,16095.400
2293-05,16157.200
2293-06,16124.200
2293-07,16172.200
2293-08,16216.600
2293-09,16190.800
2293-10,16231.600
2293-11,16207.600
2293-12,16272.400
2294-01,16275.400
2294-02,16288.000
2294-03,16329.400
2294-04,16311.400
2294-05,16373.200
2294-06,16340.200
2294-07,16388.200
2294-08,16432.600
2294-09,16406.800
2294-10,16447.600
2294-11,16423.600
2294-12,16488.400
2295-01,16491.400
