month,nominal_million_credits
2291-02,16762.600
2291-03,16748.800
2291-04,16805.700
2291-05,16792.600
2291-06,16848.100
2291-07,16810.500
2291-08,16856.900
2291-09,16888.600
2291-10,16872.700
2291-11,16928.200
2291-12,16914.400
2292-01,16947.500
2292-02,16966.600
2292-03,16952.800
2292-04,17009.700
2292-05,16996.600
2292-06,17052.100
2292-07,17014.500
2292-08,17060.900
2292-09,17092.600
2292-10,17076.700
2292-11,17132.200
2292-12,17118.400
2293-01,17151.500
2293-02,17170.600
2293-03,17156.800
2293-04,17213.700
2293-05,17200.600
2293-06,17256.100
2293-07,17218.500
2293-08,17264.900
2293-09,17296.600
2293-10,17280.700
2293-11,17336.200
2293-12,17322.400
2294-01,17355.500
2294-02,17374.600
2294-03,17360.800
2294-04,17417.700
2294-05,17404.600
2294-06,17460.100
2294-07,17422.500
2294-08,17468.900
2294-09,17500.600
2294-10,17484.700
2294-11,17540.200
2294-12,17526.400
2295-01,17559.500
