month,nominal_million_credits
2291-02,102180.000
2291-03,101821.000
2291-04,102472.000
2291-05,102123.000
2291-06,102754.000
2291-07,102055.000
2291-08,102556.000
2291-09,102847.000
2291-10,102458.000
2291-11,103089.000
2291-12,102730.000
2292-01,103041.000
2292-02,103152.000
2292-03,102793.000
2292-04,103444.000
2292-05,103095.000
2292-06,103726.000
2292-07,103027.000
2292-08,103528.000
2292-09,103819.000
2292-10,103430.000
2292-11,104061.000
2292-12,103702.000
2293-01,104013.000
2293-02,104124.000
2293-03,103765.000
2293-04,104416.000
2293-05,104067.000
2293-06,104698.000
2293-07,103999.000
2293-08,104500.000
2293-09,104791.000
2293-10,104402.000
2293-11,105033.000
2293-12,104674.000
2294-01,104985.000
2294-02,105096.000
2294-03,104737.000
2294-04,105388.000
2294-05,105039.000
2294-06,105670.000
2294-07,104971.000
2294-08,105472.000
2294-09,105763.000
2294-10,105374.000
2294-11,106005.000
2294-12,105646.000
2295-01,105957.000
