month,nominal_million_credits
2291-02,108900.000
2291-03,109366.000
2291-04,108842.000
2291-05,109648.000
2291-06,108874.000
2291-07,109450.000
2291-08,109966.000
2291-09,109312.000
2291-10,109768.000
2291-11,109144.000
2291-12,110000.000
2292-01,109826.000
2292-02,109812.000
2292-03,110278.000
2292-04,109754.000
2292-05,110560.000
2292-06,109786.000
2292-07,110362.000
2292-08,110878.000
2292-09,110224.000
2292-10,110680.000
2292-11,110056.000
2292-12,110912.000
2293-01,110738.000
2293-02,110724.000
2293-03,111190.000
2293-04,110666.000
2293-05,111472.000
2293-06,110698.000
2293-07,111274.000
2293-08,111790.000
2293-09,111136.000
2293-10,111592.000
2293-11,110968.000
2293-12,111824.000
2294-01,111650.000
2294-02,111636.000
2294-03,112102.000
2294-04,111578.000
2294-05,112384.000
2294-06,111610.000
2294-07,112186.000
2294-08,112702.000
2294-09,112048.000
2294-10,112504.000
2294-11,111880.000
2294-12,112736.000
2295-01,112562.000
